"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","13/2317","23/9500",0.565217391304348,2.3174644874369,3.5926625156056,0.000954775789368077,0.0113422497409769,0.0081996300305308,"ATP1A1/ATP1A2/ATP1A4/SLC38A3/ATP1B3/SLC4A4/SLC9A3/CA2/GLS2/PCK2/ATP1B2/CA4/PCK1",13
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","78/2317","233/9500",0.334763948497854,1.37257553333173,3.27018060391772,0.000977780150084217,0.0113422497409769,0.0081996300305308,"TRIM63/COL11A1/MYBPHL/AMPD2/AMPD1/ATP1A1/ATP1A2/ATP1A4/TNNT2/LMOD1/LBR/FMN2/TRIM54/NEB/FMNL2/COL3A1/COL5A2/FBLN2/MYH15/ATP1B3/ANK2/ITGA2/VCAN/LMNB1/MYOZ3/DAAM2/COL9A1/ITGB8/COL1A2/LMOD2/MYOM2/PDLIM2/TRIM55/SNTB1/TMOD1/COL27A1/ITGA8/NEBL/ANK3/MYPN/LDB3/ANKRD1/PDLIM1/TNNT3/SPTBN2/SSPN/ITGB7/DCN/MYBPC1/MYL2/SGCG/DIAPH3/COL4A1/SYNE3/ACTC1/THBS1/MYH11/ATP1B2/MYH4/SGCA/COL1A1/MYOM1/LAMA1/DSC2/DSG2/LMNB2/COMP/SPTBN4/MYH14/MYBPC2/TNNT1/TNNI3/COL9A3/SUN2/FBLN1/COL4A6/FHL1/BGN",78
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","14/2317","26/9500",0.538461538461538,2.20776202649314,3.50227611276312,0.00116172430123002,0.0130412921557434,0.00942791538179877,"PLA2G2A/PLA2G5/PLA2G2D/PLB1/ACAA1/PLA2G12B/FADS2/PLAAT2/PLA2G4E/PLA2G4D/PLA2G4F/PLA2G10/ACOX1/PLA2G3",14
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","34/2317","86/9500",0.395348837209302,1.62098142144513,3.28541142661263,0.00127804154433876,0.013898701794684,0.010047760825558,"PRKACB/ATP1A1/ATP1A2/ATP1A4/RYR2/CHRM3/GCG/CCK/CACNA1D/ADCY5/ATP1B3/ADCY2/ADCYAP1R1/CAMK2B/ADCY1/STX1A/PRKACG/KCNJ11/ABCC8/KCNMB4/PDX1/ADCY9/PRKCB/ATP1B2/VAMP2/GNA11/CREB3L3/FFAR1/KCNN4/TRPM4/PRKCG/PLCB1/PLCB4/GPR119",34
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","43/2317","116/9500",0.370689655172414,1.51987558227792,3.19950978257515,0.00149154741356001,0.0157290454520874,0.0113709675228339,"GRIK3/GNG12/PRKACB/GNG4/KCNJ3/SLC38A3/CACNA1D/ADCY5/PLD1/ADCY2/HOMER1/GRIA1/GRIK2/ADCY1/GNGT1/GRM8/SLC1A1/PRKACG/GRIN3A/GRIA4/GNB3/GRIN2B/GLS2/SLC17A8/PLA2G4E/PLA2G4D/PLA2G4F/GNG13/ADCY9/GRIN2A/PRKCB/MAPK3/GNAO1/GNG7/CACNA1A/GNG8/GRIN2D/SLC17A7/PRKCG/LZTS3/PLCB1/PLCB4/GRIA3",43
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","28/2317","68/9500",0.411764705882353,1.68828860849476,3.23498424310369,0.0016210960242008,0.016257888703469,0.0117532831219876,"DHRS3/CYP26B1/RETSAT/DHRS9/AOX1/UGT1A8/UGT1A10/UGT1A9/UGT1A7/UGT1A6/UGT1A4/UGT1A1/UGT2B17/ADH4/ADH1A/ADH1B/ADH1C/CYP2W1/CYP3A5/CYP3A4/CYP26A1/CYP2C18/CYP2C9/CYP2C8/RDH5/BCO1/RDH8/CYP2B6",28
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","60/2317","174/9500",0.344827586206897,1.4138377509562,3.12900351695216,0.0016351324845443,0.016257888703469,0.0117532831219876,"RSPO1/PRKACB/CACYBP/LGR6/WNT9A/FZD5/WNT7A/WNT5A/RUVBL1/CXXC4/DKK2/LEF1/NKD2/CTNND2/TCF7/PPARD/DAAM2/SFRP4/CAMK2B/FZD9/FZD1/WNT2/FZD3/SFRP1/DKK4/MYC/CCN4/PRKACG/TLE4/FZD8/DKK1/SFRP5/WNT8B/TCF7L2/LGR4/FOSL1/CCND1/MMP7/CCND2/WNT10B/WNT1/WIF1/LGR5/FZD10/PSEN1/SMAD3/PRKCB/NKD1/TP53/RNF43/AXIN2/NOTUM/APCDD1/PRKCG/RSPO4/PLCB1/PLCB4/ZNRF3/WNT7B/GPC4",60
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","37/2317","97/9500",0.381443298969072,1.56396691420207,3.17070109728008,0.00172292272129111,0.0166549196391474,0.0120403079060987,"SLC9A1/PRKACB/ATP1A1/ATP1A2/ATP1A4/CHRM3/CAMP/ADCY5/ATP1B3/PRKG2/GUCY1B1/ADCY2/SLC12A2/ADRA1B/ADCY1/SLC4A2/ADRA1A/PRKACG/CALML3/ADRB1/MUC5AC/AQP5/LYZ/ATP2B1/ADCY9/PRKCB/ATP1B2/VAMP2/LPO/BEST2/KCNN4/PRKCG/PLCB1/PLCB4/CST4/CST1/CST2",37
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","15/2317","30/9500",0.5,2.05006473888649,3.27152874479588,0.00208201712741408,0.0187460146675122,0.0135520190730049,"PLA2G2A/PLA2G5/PLA2G2D/PLB1/CYP3A4/PLA2G12B/CYP2C9/CYP2C8/PLAAT2/PLA2G4E/PLA2G4D/PLA2G4F/PLA2G10/ALOX15/PLA2G3",15
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","15/2317","30/9500",0.5,2.05006473888649,3.27152874479588,0.00208201712741408,0.0187460146675122,0.0135520190730049,"MTHFR/ATIC/ABCG2/GGH/ABCC2/FOLR3/FOLR1/FOLR2/SHMT2/ABCC1/SLC46A1/ABCC3/TYMS/GART/SLC19A1",15
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","65/2317","193/9500",0.336787564766839,1.3808726220479,3.03600568753195,0.00210084647135913,0.0187460146675122,0.0135520190730049,"PRKCZ/PIK3CD/GNG12/PRKACB/XCL2/GNG4/CX3CR1/CCR8/CCR9/CCR3/CCR2/PRKCD/ADCY5/CXCL8/CXCL6/PF4V1/CXCL1/PF4/PPBP/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CXCL13/ADCY2/CCL28/ITK/DOCK2/ADCY1/NCF1/CCL26/CCL24/GNGT1/PTK2B/CCL19/CCL21/PRKACG/SHC3/CXCL12/RASGRP2/ARRB1/CXCR5/GNB3/GRK1/GNG13/ADCY9/PRKCB/MAPK3/PLCG2/CRK/PIK3R6/CCL7/CCL5/CCL16/CCL23/CCR7/CCR10/GNG7/CCL25/GNG8/PLCB1/PLCB4/WAS",65
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","46/2317","128/9500",0.359375,1.47348403107467,3.06297328372201,0.00216645001649548,0.0188481151435107,0.0136258303669058,"PGM1/AMPD2/AMPD1/NPR1/ADCY10/RRM2/XDH/ATIC/ENTPD3/IMPDH2/ADCY5/GMPS/PDE6B/PPAT/PAICS/GUCY1B1/ADCY2/PDE6A/GMPR/ENPP3/ENPP1/PDE10A/ADCY1/IMPDH1/GDA/AK1/ENTPD8/ADK/PAPSS2/RRM1/PDE3A/ENTPD5/PDE8A/ADCY9/PFAS/NME1/NME1-NME2/NME2/PDE6G/PDE4C/GART/PDE9A/ADA2/PRPS2/PRPS1/HPRT1",46
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","36/2317","95/9500",0.378947368421053,1.55373327578766,3.08057688798262,0.00225455003158256,0.0191361807558715,0.0138340810667069,"S100A7/PTGS2/TRAF5/IL17RE/IL17RB/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL10/CSF2/HSP90AB1/IL17A/IL17F/TRAF3IP2/DEFB4A/DEFB4B/MAPK15/LCN2/MUC5AC/FOSL1/MMP1/MMP3/MMP13/IL17D/FOS/HSP90AA1/MAPK6/MAPK3/MAPK7/CCL7/JUND/FOSB/MMP9",36
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","8/2317","12/9500",0.666666666666667,2.73341965184865,3.41236931812178,0.00233071764407659,0.0193116604794917,0.0139609402740427,"SLAMF1/NECTIN4/CHRNA1/NCAM1/ASGR1/NGFR/CD209/CLEC4M",8
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","30/2317","76/9500",0.394736842105263,1.61847216227881,3.07438563013014,0.0024709060663097,0.0199971002575762,0.0144564638885684,"SLC9A1/PRKACB/ATP1A1/KCNJ10/ATP1A2/ATP1A4/CHRM3/SLC9A4/ADCY5/MYLK/ATP1B3/SST/ADCY2/EZR/CAMK2B/ADCY1/SLC4A2/CA2/PRKACG/CALML3/KCNQ1/ADCY9/PRKCB/ATP1B2/GAST/SSTR2/PRKCG/PLCB1/PLCB4/MYLK2",30
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","29/2317","73/9500",0.397260273972603,1.62881855966324,3.06301451972803,0.00258702170498448,0.0204609898485136,0.0147918226672558,"GSTM2/GSTM5/FMO5/MGST3/FMO4/AOX1/UGT1A8/UGT1A10/UGT1A9/UGT1A7/UGT1A6/UGT1A4/UGT1A1/UGT2B17/ADH4/ADH1A/ADH1B/ADH1C/CYP3A5/CYP3A4/CYP2C9/CYP2C8/GSTO2/GSTP1/ALDH3B2/ALDH3A1/CYP2B6/MAOA/MAOB",29
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","42/2317","116/9500",0.362068965517241,1.48452963850401,2.98197755614621,0.00281253685022499,0.0217502849750733,0.0157238902269888,"PIK3CD/GNG12/PRKACB/GNG4/CHRM3/SLC5A7/KCNJ3/CACNA1D/ADCY5/ADCY2/CAMK4/KCNQ5/CAMK2B/ADCY1/GNGT1/ACHE/KCNQ3/PRKACG/CHAT/SLC18A3/KCNQ1/GNB3/FOS/CHRNA7/CHRM5/GNG13/ADCY9/PRKCB/MAPK3/GNAO1/PIK3R6/GNG7/GNA11/CREB3L3/CACNA1A/GNG8/KCNJ14/PRKCG/PLCB1/PLCB4/CHRNA4/KCNJ6",42
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","54/2317","157/9500",0.343949044585987,1.41023561655886,2.94366946100494,0.00289240785729614,0.0218816942247621,0.0158188896543198,"PRKCZ/TP73/BMP8A/BMP8B/WNT9A/GDF7/FZD5/WNT7A/WNT5A/PPP2R2C/AFP/RASSF6/BMPR1B/LEF1/NKD2/TCF7/BMP6/BMP5/FRMD1/FZD9/FZD1/SERPINE1/WNT2/FZD3/PPP2CB/GDF6/STK3/MYC/FZD8/CTNNA3/WNT8B/TCF7L2/CCND1/BIRC3/TEAD4/CCND2/WNT10B/WNT1/FZD10/AJUBA/BMP4/PALS1/SMAD3/NKD1/PARD6A/CDH1/AXIN2/BIRC5/SMAD7/AMH/BMP2/BMP7/WNT7B/AMOT",54
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","40/2317","110/9500",0.363636363636364,1.49095617373563,2.94140820525018,0.00320095752164713,0.0237007067560256,0.017133904763128,"BMP8A/BMP8B/TMEM53/LEFTY1/GREM2/GDF7/INHBB/ACVR1C/TF/BMPR1B/FST/RGMB/BMP6/BMP5/HDAC2/INHBA/TFR2/PPP2CB/E2F5/GDF6/MYC/CDKN2B/INHBE/DCN/TFDP1/BMP4/THBS1/SMAD6/SMAD3/THSD4/NEO1/RGMA/MAPK3/TGIF1/SMAD7/AMH/BMP2/TGIF2/RBL1/BMP7",40
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","22/2317","52/9500",0.423076923076923,1.73467016367318,3.01698506106287,0.00331787963620537,0.0240546273624889,0.017389763882743,"PRKACB/HSD3B2/HSD3B1/PTGS2/ADCY5/ADCY2/BMP6/ADCY1/PRKACG/AKR1C3/AKR1C8/IGF1/ACOT4/PLA2G4E/PLA2G4D/PLA2G4F/CYP19A1/CYP11A1/ADCY9/HSD17B2/INSR/LHB",22
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","53/2317","155/9500",0.341935483870968,1.40197975691592,2.86569131165761,0.00361664819711376,0.0256855831141957,0.0185688274781995,"PRKACB/HSD3B2/HSD3B1/WNT9A/AGT/POMC/KCNK3/FZD5/WNT7A/CACNA1D/WNT5A/WDR5B/ADCY5/AGTR1/LEF1/ADCY2/TCF7/E2F3/CDKN1A/CAMK2B/ADCY1/EGFR/FZD9/FZD1/CDK6/WNT2/FZD3/CDKN2A/CDKN2B/PRKACG/WDR5/FZD8/WNT8B/TCF7L2/CCND1/WNT10B/WNT1/CDK2/CDK4/FZD10/CYP11A1/PDE8A/ADCY9/MAPK3/RASD1/AXIN2/GNA11/CREB3L3/CCNE1/PLCB1/PLCB4/E2F1/WNT7B",53
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","31/2317","81/9500",0.382716049382716,1.56918535569089,2.92174867861107,0.00370016838851251,0.025753171984047,0.0186176893653577,"CDA/GSTM2/GSTM5/MGST3/RRM2/XDH/UGT1A8/UGT1A10/UGT1A9/UGT1A7/UGT1A6/UGT1A4/UGT1A1/IMPDH2/UMPS/GMPS/UGT2B17/UPP1/CYP3A4/IMPDH1/NAT1/NAT2/GSTO2/RRM1/GSTP1/CES2/NME1/NME1-NME2/NME2/TK1/HPRT1",31
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","29/2317","75/9500",0.386666666666667,1.58538339807222,2.89054264558018,0.00412462076868906,0.0281444711275254,0.0203464264957004,"TP73/SFN/SESN2/GADD45A/RRM2/TP53I3/ATR/CCNG2/CCNB1/CDKN1A/CDK6/SERPINE1/ADGRB1/CDKN2A/CDK1/CCND1/CHEK1/CCND2/CDK2/CDK4/IGF1/THBS1/CCNB2/TP53/PMAIP1/SERPINB5/CCNE1/CHEK2/GTSE1",29
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","22/2317","53/9500",0.415094339622642,1.7019405379435,2.91031721894008,0.00438770015380556,0.0290953613479091,0.021033851670146,"PRKACB/ATP1A1/ATP1A2/ATP1A4/DNM3/PTH1R/ATP1B3/CLTB/ESR1/CALB1/PRKACG/VDR/ATP2B1/SLC8A3/BDKRB2/ADCY9/PRKCB/ATP1B2/DNM2/PRKCG/PLCB1/PLCB4",22
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","43/2317","122/9500",0.352459016393443,1.44512760282162,2.8103366997967,0.00446943732408267,0.0290953613479091,0.021033851670146,"PIK3CD/SLC9A1/PRKACB/ATP1A1/ATP1A2/ATP1A4/RXRG/NCOA1/PLCD4/KAT2B/THRB/PLCD1/ATP1B3/RCAN2/SLC16A10/HDAC2/ESR1/GATA4/MYC/PRKACG/RXRA/NOTCH1/PLCE1/CCND1/SLCO1C1/PFKM/FOXO1/TBC1D4/BMP4/DIO2/PRKCB/MAPK3/PLCG2/ATP2A3/ATP1B2/TP53/KAT2A/PLCD3/NOTCH3/PRKCG/PLCB1/PLCB4/RCAN1",43
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","21/2317","50/9500",0.42,1.72205438066465,2.90728784524961,0.00451479745053762,0.0290953613479091,0.021033851670146,"SRM/AGMAT/ALDH4A1/AZIN2/ODC1/CKMT2/ARG1/AOC1/PYCR3/ALDH1B1/ALDH18A1/HOGA1/P4HA3/DAO/CKB/PYCR1/CNDP1/SMOX/SMS/MAOA/MAOB",21
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","19/2317","44/9500",0.431818181818182,1.77051045631106,2.9093781356541,0.00470294001217106,0.0295175872857547,0.0213390906270277,"RFC4/NEIL3/POLD2/RFC2/POLB/POLE3/FEN1/POLD4/UNG/RFC5/HMGB1/RFC3/APEX1/POLE2/TDP1/NTHL1/LIG1/POLD1/PCNA",19
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","18/2317","41/9500",0.439024390243902,1.80005684390033,2.91567550154882,0.00474995657471915,0.0295175872857547,0.0213390906270277,"FGFR3/CXCL8/E2F3/CDKN1A/EGFR/MYC/CDKN2A/CCND1/MMP1/CDK4/THBS1/DAPK2/MAPK3/CDH1/TP53/E2F1/MMP9/UPK3A",18
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","51/2317","150/9500",0.34,1.39404402244281,2.76269915815001,0.0048399444731262,0.0295491346780336,0.0213618971205385,"PIK3CD/GADD45A/REG4/RXRG/WNT9A/FZD5/WNT7A/WNT5A/FGF5/LEF1/TERT/TCF7/FGF18/E2F3/CDKN1A/EGFR/FZD9/ABCB1/FZD1/MET/WNT2/FGF20/FZD3/CDH17/MYC/CDKN2B/SHC3/RXRA/FZD8/CTNNA3/WNT8B/FGF8/TCF7L2/FGFR2/CCND1/FGF19/FGF3/FGF23/WNT10B/WNT1/CDK2/FZD10/SMAD3/MAPK3/CDH1/TP53/AXIN2/FGF22/CCNE1/E2F1/WNT7B",51
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","21/2317","51/9500",0.411764705882353,1.68828860849476,2.79905719575031,0.00594232341601384,0.0349425955203181,0.0252609810325348,"PLA2G2A/PLA2G5/PLA2G2D/PAFAH2/PLPP3/PLB1/PLD1/ENPP6/PLPP1/PLA2G12B/PLAAT2/PLD4/PLA2G4E/PLA2G4D/PLA2G4F/PLA2G10/GDPD3/LPCAT2/PAFAH1B3/GAL3ST1/PLA2G3",21
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","36/2317","100/9500",0.36,1.47604661199827,2.71790691982714,0.00601744434595796,0.0349425955203181,0.0252609810325348,"CSF1/CD2/IL6R/CD1D/CD1C/CR2/CR1/CD8A/IL1R2/IL1A/GP9/MME/ITGA2/CSF2/CD14/CSF1R/HLA-DRB5/HLA-DRB1/HLA-DQB1/HLA-DMB/CD36/EPO/CD44/MS4A1/CD3E/CD3D/CD3G/FLT3/ANPEP/IL4R/CD19/CD7/FCER2/CD22/CD37/IL11",36
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","50/2317","148/9500",0.337837837837838,1.38517887762601,2.68219346147541,0.00602458543453759,0.0349425955203181,0.0252609810325348,"PIK3CD/HEYL/GADD45A/WNT9A/NCOA1/FZD5/WNT7A/WNT5A/FGF5/LEF1/TCF7/FGF18/E2F3/CDKN1A/ESR1/EGFR/FZD9/FZD1/CDK6/WNT2/FGF20/FZD3/MYC/SHC3/NOTCH1/FZD8/WNT8B/FGF8/TCF7L2/CCND1/FGF19/FGF3/FGF23/WNT10B/WNT1/CDK4/IGF1/FZD10/BRCA2/FOS/JAG2/MAPK3/TP53/BRCA1/AXIN2/FGF22/NOTCH3/DLL3/E2F1/WNT7B",50
NA,NA,"hsa03272","Virion - Hepatitis viruses","20/2317","48/9500",0.416666666666667,1.70838728240541,2.79433548256958,0.00613848889650188,0.0350195759997156,0.0253166323772899,"EPCAM/DPP4/PDCD6IP/CLDN18/CLDN11/CLDN1/CLDN16/CLDN20/EGFR/CLDN4/CLDN23/CLDN9/CLDN6/CLDN7/CHMP1B/VPS4B/CLDN8/CLDN14/CLDN5/CLDN2",20
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","25/2317","64/9500",0.390625,1.60161307725507,2.74259901906023,0.00639120793603566,0.0358732316409744,0.0259337639509766,"HSD3B2/HSD3B1/UGT1A8/UGT1A10/UGT1A9/UGT1A7/UGT1A6/UGT1A4/UGT1A1/UGT2B17/SULT1E1/HSD17B11/CYP3A5/CYP3A4/AKR1C2/AKR1C3/AKR1C8/AKR1C4/CYP19A1/CYP11A1/HSD11B2/HSD17B2/DHRS11/SULT2B1/COMT",25
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","45/2317","133/9500",0.338345864661654,1.38726185338184,2.55434354756243,0.00859080398546134,0.0474539648720722,0.0343058003763619,"GNG12/PRKACB/KCNJ9/GNG4/KCNJ3/SCN1A/CACNA1D/ADCY5/PPP2R3A/PPP2R2C/GRIA1/DRD1/CAMK2B/GNGT1/PPP2CB/PRKACG/CALML3/CALY/DRD4/TH/BMAL1/ARRB1/GRIA4/DRD2/GNB3/GRIN2B/FOS/GNG13/GRIN2A/PRKCB/GNAO1/PPP1R1B/GNAL/GNG7/CREB3L3/CACNA1A/GNG8/PRKCG/PLCB1/PLCB4/KCNJ6/COMT/MAOA/MAOB/GRIA3",45
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","23/2317","59/9500",0.389830508474576,1.59835555913184,2.6183359266225,0.00894967124238925,0.0486638373804916,0.0351804511008393,"PIK3CD/PRKACB/NPR1/PTGS2/AQP7B/CIDEC/ABHD5/ADCY5/MGLL/PRKG2/NPY1R/ADCY2/NPY/ADCY1/FABP4/AQP7/PRKACG/ADRB1/PNPLA2/PLAAT2/PLIN1/ADCY9/INSR",23
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","26/2317","69/9500",0.376811594202899,1.54497632495794,2.58031267885267,0.00941052878510354,0.0498005209971037,0.0360021915254319,"PRKACB/CACNA1D/ADCY5/CAMK4/GRIA1/DRD1/HDAC2/CAMK2B/STX1A/PRKACG/GRIN3A/CALML3/TH/GRIA4/GRIN2B/FOS/GRIN2A/PRKCB/PPP1R1B/CREB3L3/FOSB/GRIN2D/PRKCG/MAOA/MAOB/GRIA3",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","32/2317","89/9500",0.359550561797753,1.4742038571768,2.55264973325458,0.00944492639600242,0.0498005209971037,0.0360021915254319,"TNR/GP9/IBSP/SPP1/NPNT/ITGA2/HMMR/TNXB/COL9A1/ITGB8/CD36/COL1A2/RELN/LAMB4/FREM1/TNC/ITGA8/CD44/COL2A1/ITGB7/FREM2/COL4A1/THBS1/SV2B/COL1A1/CHAD/LAMA1/LAMA3/COMP/LAMA5/COL9A3/COL4A6",32
